file,condition,mean,std,min,max,n_turns
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6408490724861622,0.09926723823068148,0.4499646723270416,0.746346116065979,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6156783401966095,0.10393297735103874,0.4484183192253113,0.7296395301818848,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.6206197887659073,0.08323609332019904,0.4714675545692444,0.715253472328186,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6548741095595889,0.09668910736805746,0.47448423504829407,0.7935652136802673,9
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.683348936694009,0.12035416467592995,0.40796101093292236,0.7846052050590515,7
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6100739799439907,0.09060703442346735,0.4178985059261322,0.7232280969619751,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6302511692047119,0.11512157633330802,0.35103482007980347,0.7259188294410706,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6140599325299263,0.10473866087133897,0.4273311197757721,0.7235085368156433,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.6043691635131836,0.09168319081829658,0.4193460941314697,0.7387924194335938,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6518934480845928,0.09008265865751762,0.46715012192726135,0.7590429186820984,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.7217029333114624,0.12923828395864653,0.4039576053619385,0.8596752882003784,9
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6501915901899338,0.08594528514371967,0.5195942521095276,0.7702758312225342,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6438272669911385,0.06203385702260917,0.5048764944076538,0.7072197198867798,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6205261088907719,0.13656869820177445,0.2990218698978424,0.7448672652244568,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.6108751185238361,0.06915299992667392,0.47507402300834656,0.6934797167778015,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6205428279936314,0.10802675010295079,0.3919362723827362,0.7554488778114319,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.6069641411304474,0.05195407059023451,0.5362911820411682,0.6708552837371826,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6113592199981213,0.10801539215701132,0.3681706488132477,0.7196561098098755,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6184890419244766,0.08669597803069069,0.4822007715702057,0.6984879374504089,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6072762347757816,0.08006883727706597,0.44393518567085266,0.7176400423049927,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.6135150566697121,0.07410414900089042,0.5015082359313965,0.7327017188072205,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6336330361664295,0.12819032024994767,0.35603323578834534,0.7357484698295593,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.6354709677398205,0.07503245034615397,0.49494853615760803,0.7564261555671692,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6164675913751125,0.1253913373359043,0.34198853373527527,0.7590724229812622,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6461263336241245,0.0762818839424346,0.4860576093196869,0.7168477177619934,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6133782602846622,0.13105417144350676,0.361657977104187,0.756607711315155,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.6207822039723396,0.07575968617402283,0.47686779499053955,0.7163746953010559,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6521810926496983,0.11375095868516907,0.44102874398231506,0.756580650806427,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.6486676409840584,0.12159989762135265,0.403539776802063,0.8273824453353882,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6210182867944241,0.1313276781027122,0.30371084809303284,0.7322022318840027,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6030702777206898,0.1258424676006571,0.31942102313041687,0.7509289383888245,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6326334439218044,0.11650242997013696,0.3609776198863983,0.7505029439926147,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.590994831174612,0.0740558628259738,0.47646620869636536,0.7003729343414307,8
